,receipe,nutricional,ingredients
0,Egg Florentine tartlets,"Each 65g serving contains (excludes serving suggestion)
KCal
117
Carbs
7.0g
Fibre
0.3g
Protein
6.5g
Fat
6.9g
Saturates
1.9g
Sugars
0.5g
Salt
0.19g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g cooked drained spinach (or 100g frozen spinach, defrosted and water squeezed out)
60g light cream cheese (plain or garlic and herb if you prefer)
good pinch nutmeg
1 hen's egg
good pinch freshly ground pepper
1 heaped tbsp (15g) finely grated Parmesan cheese
4 sheets filo pasty
2 tbsp sunflower oil
12 quail's eggs"
1,Doner kebabs,"Each 349g serving contains (excludes serving suggestion)
KCal
360
Carbs
38.5g
Fibre
8.5g
Protein
25.1g
Fat
9.7g
Saturates
3.2g
Sugars
7.2g
Salt
1.09g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 heaped tsp oregano
1 tsp ground cinnamon
half tsp ground cumin
half tsp chilli flakes
good pinch white pepper
2 cloves garlic, crushed
grated zest and juice half lemon
1 egg, lightly beaten
half slice wholemeal bread, crumbled
250g 10% fat minced lamb
4 wholemeal pitta breads (70g each)
4 large servings salad (cucumber, 100g iceberg lettuce, 300g tomatoes and 150g red onion)
juice half lemon, to serve"
2,Curried spinach with red onion and garlic,"Each 217g serving contains (excludes serving suggestion)
KCal
111
Carbs
9.0g
Fibre
5.7g
Protein
4.9g
Fat
4.9g
Saturates
1.1g
Sugars
6.8g
Salt
0.64g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 x 250g bag spinach
1 tsp sunflower oil
1 red onion, halved then thinly sliced
2 cloves garlic, sliced thinly
2 tsp curry paste (mild or as hot as you like)
1 tbsp reduced-fat crème fraîche"
3,Crispy beef salad with horseradish dressing,"Each 217g serving contains (excludes serving suggestion)
KCal
169
Carbs
7.0g
Fibre
2.8g
Protein
20.0g
Fat
6.4g
Saturates
1.8g
Sugars
5.7g
Salt
0.2g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tbsp 0% fat Greek yogurt
2 tsp horseradish sauce
3 little gem lettuce, roughly chopped
120g cherry tomatoes, in small wedges
100g cucumber, batons
1 tsp cornflour
1 tsp paprika
1 pack (300g) stir-fry beef strips
1 olive oil spray
1tbsp sesame seeds
4 spring onions, chopped into 3cm pieces
1 red pepper, sliced thinly
Juice half lemon"
4,Creamy chicken and mushroom soup,"Each 301g serving contains (excludes serving suggestion)
KCal
159
Carbs
12.5g
Fibre
2.2g
Protein
19.9g
Fat
2.8g
Saturates
0.5g
Sugars
9.0g
Salt
0.91g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp oil
2 onions, chopped
2 skinless chicken breasts (approx. 200g), chopped small
250g mushrooms
2 cloves garlic, crushed
1 chicken stock cube, dissolved in 500ml water
1 heaped tsp cornflour
good pinch white pepper
300ml skimmed milk
100g 0% fat Greek yogurt
2 tsp chopped chives
grind black pepper"
5,Crisp salmon salad,"Each 338g serving contains (excludes serving suggestion)
KCal
343
Carbs
23.0g
Fibre
4.2g
Protein
24.3g
Fat
16.1g
Saturates
2.9g
Sugars
5.3g
Salt
0.44g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
250g new potatoes
8 cherry tomatoes, halved
90g mixed salad leaves
2 pieces skinless salmon fillet (approx. 100g each)
1 tbsp coarse ground black pepper
grated rind and juice 1 orange
1 tbsp wholegrain mustard"
6,Creamy asparagus soup,"Each 292g serving contains (excludes serving suggestion)
KCal
146
Carbs
15.0g
Fibre
3.4g
Protein
5.6g
Fat
6.3g
Saturates
5.6g
Sugars
4.3g
Salt
0.07g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
15g dairy-free spread
1 small onion, finely chopped
125g asparagus, chopped
25g plain flour
450ml vegetable stock
150ml soya milk
freshly ground black pepper"
7,Cranberry sauce,"Each 53g serving contains (excludes serving suggestion)
KCal
21
Carbs
2.5g
Fibre
1.8g
Protein
0.2g
Fat
0.0g
Saturates
0.0g
Sugars
2.5g
Salt
0.0g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
350g fresh cranberries
3 tbsp port
grated rind and juice 1 orange
intense sweetener or sugar to taste"
8,Creamy bacon and rosemary pasta,"Each 376g serving contains (excludes serving suggestion)
KCal
437
Carbs
57.4g
Fibre
11.5g
Protein
21.4g
Fat
11.0g
Saturates
4.6g
Sugars
10.8g
Salt
0.9g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
150g wholewheat dried pasta shapes
2 rashers lean back bacon, chopped
1 leek (150g), finely chopped
1 tsp fresh rosemary, chopped
1 x 150g carton natural yogurt
1 tbsp sundried tomato paste
freshly ground black pepper
To serve:
2 tsp freshly grated Parmesan cheese"
9,Crab tagliatelle,"Each 408g serving contains (excludes serving suggestion)
KCal
418
Carbs
60.9g
Fibre
5.7g
Protein
24.0g
Fat
7.5g
Saturates
1.1g
Sugars
7.7g
Salt
0.53g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
150g tagliatelle
200g cherry tomatoes, halved
half-1 green chilli, finely sliced (optional)
6 spring onions, shredded
125g fresh white crab meat
1tbsp olive oil
2 tbsp chopped fresh basil
grated rind and juice 1 lemon"
10,Courgette loaf,"Each 71g serving contains (excludes serving suggestion)
KCal
151
Carbs
14.4g
Fibre
2.7g
Protein
4.6g
Fat
7.7g
Saturates
0.8g
Sugars
0.8g
Salt
0.2g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 medium eggs, beaten
75ml rapeseed oil + 2 tsp to oil a 2lb loaf tin
1 tsp vanilla extract
3 tbsp granulated sweetener
300g courgettes, grated
200g wholemeal flour
1 tsp baking powder
2 tsp ground cinnamon"
11,Cowboy-style pork and beans,"Each 472g serving contains (excludes serving suggestion)
KCal
368
Carbs
35.4g
Fibre
13.4g
Protein
34.3g
Fat
6.9g
Saturates
1.7g
Sugars
15.4g
Salt
0.33g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
2 medium onions, finely chopped
1 red pepper, finely chopped
2 cloves garlic, chopped
400g pork fillet, visible fat removed and chopped into small chunks
2 x 400g tin chopped tomatoes
1 tbsp tomato puree
1 tsp blackstrap molasses
1 heaped tsp smoked paprika
1 tsp chilli powder
2 x 400g tin cannellini beans, drained weight approx 470g"
