,hb,year,month,day,hour
0,7,2020,1,1,0
1,7,2020,1,1,1
2,8,2020,1,1,2
3,7,2020,1,1,3
4,7,2020,1,1,4
5,6,2020,1,1,5
6,7,2020,1,1,6
7,7,2020,1,1,7
8,6,2020,1,1,8
9,7,2020,1,1,9
10,7,2020,1,1,10
11,7,2020,1,1,11
12,8,2020,1,1,12
13,7,2020,1,1,13
14,7,2020,1,1,14
15,8,2020,1,1,15
16,6,2020,1,1,16
17,7,2020,1,1,17
18,7,2020,1,1,18
19,8,2020,1,1,19
20,7,2020,1,1,20
21,7,2020,1,1,21
22,6,2020,1,1,22
23,7,2020,1,1,23
24,7,2020,1,2,0
25,7,2020,1,2,1
26,7,2020,1,2,2
27,7,2020,1,2,3
28,7,2020,1,2,4
29,6,2020,1,2,5
30,7,2020,1,2,6
31,7,2020,1,2,7
32,8,2020,1,2,8
33,6,2020,1,2,9
34,7,2020,1,2,10
35,7,2020,1,2,11
36,7,2020,1,2,12
37,7,2020,1,2,13
38,7,2020,1,2,14
39,7,2020,1,2,15
40,7,2020,1,2,16
41,6,2020,1,2,17
42,7,2020,1,2,18
43,7,2020,1,2,19
44,7,2020,1,2,20
45,8,2020,1,2,21
46,8,2020,1,2,22
47,7,2020,1,2,23
48,7,2020,1,3,0
49,7,2020,1,3,1
50,6,2020,1,3,2
51,7,2020,1,3,3
52,7,2020,1,3,4
53,7,2020,1,3,5
54,8,2020,1,3,6
55,7,2020,1,3,7
56,7,2020,1,3,8
57,7,2020,1,3,9
58,7,2020,1,3,10
59,7,2020,1,3,11
60,6,2020,1,3,12
61,7,2020,1,3,13
62,7,2020,1,3,14
63,8,2020,1,3,15
64,7,2020,1,3,16
65,7,2020,1,3,17
66,7,2020,1,3,18
67,8,2020,1,3,19
68,7,2020,1,3,20
69,7,2020,1,3,21
70,8,2020,1,3,22
71,8,2020,1,3,23
72,7,2020,1,4,0
73,7,2020,1,4,1
74,7,2020,1,4,2
75,7,2020,1,4,3
76,7,2020,1,4,4
77,7,2020,1,4,5
78,8,2020,1,4,6
79,7,2020,1,4,7
80,7,2020,1,4,8
81,7,2020,1,4,9
82,7,2020,1,4,10
83,7,2020,1,4,11
84,8,2020,1,4,12
85,8,2020,1,4,13
86,8,2020,1,4,14
87,7,2020,1,4,15
88,7,2020,1,4,16
89,7,2020,1,4,17
90,7,2020,1,4,18
91,7,2020,1,4,19
92,7,2020,1,4,20
93,6,2020,1,4,21
94,7,2020,1,4,22
95,7,2020,1,4,23
96,7,2020,1,5,0
97,7,2020,1,5,1
98,8,2020,1,5,2
99,7,2020,1,5,3
100,7,2020,1,5,4
101,8,2020,1,5,5
102,7,2020,1,5,6
103,7,2020,1,5,7
104,7,2020,1,5,8
105,7,2020,1,5,9
106,7,2020,1,5,10
107,7,2020,1,5,11
108,8,2020,1,5,12
109,7,2020,1,5,13
110,7,2020,1,5,14
111,6,2020,1,5,15
112,7,2020,1,5,16
113,8,2020,1,5,17
114,8,2020,1,5,18
115,7,2020,1,5,19
116,6,2020,1,5,20
117,7,2020,1,5,21
118,6,2020,1,5,22
119,7,2020,1,5,23
120,7,2020,1,6,0
121,8,2020,1,6,1
122,7,2020,1,6,2
123,7,2020,1,6,3
124,7,2020,1,6,4
125,7,2020,1,6,5
126,7,2020,1,6,6
127,7,2020,1,6,7
128,7,2020,1,6,8
129,7,2020,1,6,9
130,7,2020,1,6,10
131,8,2020,1,6,11
132,7,2020,1,6,12
133,7,2020,1,6,13
134,7,2020,1,6,14
135,7,2020,1,6,15
136,7,2020,1,6,16
137,8,2020,1,6,17
138,7,2020,1,6,18
139,7,2020,1,6,19
140,7,2020,1,6,20
141,7,2020,1,6,21
142,7,2020,1,6,22
143,7,2020,1,6,23
144,7,2020,1,7,0
145,7,2020,1,7,1
146,7,2020,1,7,2
147,7,2020,1,7,3
148,7,2020,1,7,4
149,6,2020,1,7,5
150,7,2020,1,7,6
151,7,2020,1,7,7
152,7,2020,1,7,8
153,8,2020,1,7,9
154,7,2020,1,7,10
155,7,2020,1,7,11
156,7,2020,1,7,12
157,7,2020,1,7,13
158,7,2020,1,7,14
159,6,2020,1,7,15
160,7,2020,1,7,16
161,7,2020,1,7,17
162,7,2020,1,7,18
163,7,2020,1,7,19
164,7,2020,1,7,20
165,7,2020,1,7,21
166,7,2020,1,7,22
167,7,2020,1,7,23
168,6,2020,1,8,0
169,7,2020,1,8,1
170,7,2020,1,8,2
171,7,2020,1,8,3
172,7,2020,1,8,4
173,6,2020,1,8,5
174,7,2020,1,8,6
175,7,2020,1,8,7
176,7,2020,1,8,8
177,7,2020,1,8,9
178,8,2020,1,8,10
179,7,2020,1,8,11
180,8,2020,1,8,12
181,7,2020,1,8,13
182,7,2020,1,8,14
183,6,2020,1,8,15
184,7,2020,1,8,16
185,7,2020,1,8,17
186,7,2020,1,8,18
187,7,2020,1,8,19
188,7,2020,1,8,20
189,7,2020,1,8,21
190,7,2020,1,8,22
191,7,2020,1,8,23
192,7,2020,1,9,0
193,7,2020,1,9,1
194,6,2020,1,9,2
195,8,2020,1,9,3
196,6,2020,1,9,4
197,7,2020,1,9,5
198,7,2020,1,9,6
199,7,2020,1,9,7
200,7,2020,1,9,8
201,6,2020,1,9,9
202,7,2020,1,9,10
203,6,2020,1,9,11
204,7,2020,1,9,12
205,7,2020,1,9,13
206,7,2020,1,9,14
207,7,2020,1,9,15
208,6,2020,1,9,16
209,6,2020,1,9,17
210,7,2020,1,9,18
211,7,2020,1,9,19
212,7,2020,1,9,20
213,7,2020,1,9,21
214,8,2020,1,9,22
215,8,2020,1,9,23
216,7,2020,1,10,0
217,7,2020,1,10,1
218,7,2020,1,10,2
219,8,2020,1,10,3
220,8,2020,1,10,4
221,7,2020,1,10,5
222,7,2020,1,10,6
223,7,2020,1,10,7
224,6,2020,1,10,8
225,7,2020,1,10,9
226,7,2020,1,10,10
227,7,2020,1,10,11
228,7,2020,1,10,12
229,6,2020,1,10,13
230,6,2020,1,10,14
231,8,2020,1,10,15
232,7,2020,1,10,16
233,7,2020,1,10,17
234,7,2020,1,10,18
235,6,2020,1,10,19
236,6,2020,1,10,20
237,7,2020,1,10,21
238,8,2020,1,10,22
239,7,2020,1,10,23
240,7,2020,1,11,0
241,6,2020,1,11,1
242,8,2020,1,11,2
243,7,2020,1,11,3
244,6,2020,1,11,4
245,8,2020,1,11,5
246,7,2020,1,11,6
247,7,2020,1,11,7
248,7,2020,1,11,8
249,7,2020,1,11,9
250,7,2020,1,11,10
251,7,2020,1,11,11
252,7,2020,1,11,12
253,7,2020,1,11,13
254,7,2020,1,11,14
255,7,2020,1,11,15
256,7,2020,1,11,16
257,7,2020,1,11,17
258,7,2020,1,11,18
259,7,2020,1,11,19
260,8,2020,1,11,20
261,7,2020,1,11,21
262,7,2020,1,11,22
263,7,2020,1,11,23
264,7,2020,1,12,0
265,7,2020,1,12,1
266,7,2020,1,12,2
267,7,2020,1,12,3
268,7,2020,1,12,4
269,7,2020,1,12,5
270,7,2020,1,12,6
271,6,2020,1,12,7
272,6,2020,1,12,8
273,6,2020,1,12,9
274,7,2020,1,12,10
275,8,2020,1,12,11
276,7,2020,1,12,12
277,7,2020,1,12,13
278,7,2020,1,12,14
279,8,2020,1,12,15
280,7,2020,1,12,16
281,6,2020,1,12,17
282,8,2020,1,12,18
283,8,2020,1,12,19
284,6,2020,1,12,20
285,7,2020,1,12,21
286,8,2020,1,12,22
287,7,2020,1,12,23
288,7,2020,1,13,0
289,7,2020,1,13,1
290,7,2020,1,13,2
291,6,2020,1,13,3
292,7,2020,1,13,4
293,7,2020,1,13,5
294,7,2020,1,13,6
295,8,2020,1,13,7
296,7,2020,1,13,8
297,8,2020,1,13,9
298,7,2020,1,13,10
299,6,2020,1,13,11
300,7,2020,1,13,12
301,7,2020,1,13,13
302,7,2020,1,13,14
303,6,2020,1,13,15
304,7,2020,1,13,16
305,7,2020,1,13,17
