,Hb,Date,Dates,Time
0,7.0,2020-01-01 00:00:00,2020-01-01,00:00:00
1,7.0,2020-01-01 01:00:00,2020-01-01,01:00:00
2,5.0,2020-01-01 02:00:00,2020-01-01,02:00:00
3,4.0,2020-01-01 03:00:00,2020-01-01,03:00:00
4,1.0,2020-01-01 04:00:00,2020-01-01,04:00:00
5,4.0,2020-01-01 05:00:00,2020-01-01,05:00:00
6,4.0,2020-01-01 06:00:00,2020-01-01,06:00:00
7,3.0,2020-01-01 07:00:00,2020-01-01,07:00:00
8,3.0,2020-01-01 08:00:00,2020-01-01,08:00:00
9,1.0,2020-01-01 09:00:00,2020-01-01,09:00:00
10,4.0,2020-01-01 10:00:00,2020-01-01,10:00:00
11,2.0,2020-01-01 11:00:00,2020-01-01,11:00:00
12,3.0,2020-01-01 12:00:00,2020-01-01,12:00:00
13,3.0,2020-01-01 13:00:00,2020-01-01,13:00:00
14,4.0,2020-01-01 14:00:00,2020-01-01,14:00:00
15,4.0,2020-01-01 15:00:00,2020-01-01,15:00:00
16,6.0,2020-01-01 16:00:00,2020-01-01,16:00:00
17,0.0,2020-01-01 17:00:00,2020-01-01,17:00:00
18,3.0,2020-01-01 18:00:00,2020-01-01,18:00:00
19,2.0,2020-01-01 19:00:00,2020-01-01,19:00:00
20,2.0,2020-01-01 20:00:00,2020-01-01,20:00:00
21,3.0,2020-01-01 21:00:00,2020-01-01,21:00:00
22,6.0,2020-01-01 22:00:00,2020-01-01,22:00:00
23,2.0,2020-01-01 23:00:00,2020-01-01,23:00:00
24,2.0,2020-01-02 00:00:00,2020-01-02,00:00:00
25,5.0,2020-01-02 01:00:00,2020-01-02,01:00:00
26,3.0,2020-01-02 02:00:00,2020-01-02,02:00:00
27,2.0,2020-01-02 03:00:00,2020-01-02,03:00:00
28,0.0,2020-01-02 04:00:00,2020-01-02,04:00:00
29,2.0,2020-01-02 05:00:00,2020-01-02,05:00:00
30,3.0,2020-01-02 06:00:00,2020-01-02,06:00:00
31,1.0,2020-01-02 07:00:00,2020-01-02,07:00:00
32,6.0,2020-01-02 08:00:00,2020-01-02,08:00:00
33,1.0,2020-01-02 09:00:00,2020-01-02,09:00:00
34,1.0,2020-01-02 10:00:00,2020-01-02,10:00:00
35,3.0,2020-01-02 11:00:00,2020-01-02,11:00:00
36,3.0,2020-01-02 12:00:00,2020-01-02,12:00:00
37,2.0,2020-01-02 13:00:00,2020-01-02,13:00:00
38,5.0,2020-01-02 14:00:00,2020-01-02,14:00:00
39,3.0,2020-01-02 15:00:00,2020-01-02,15:00:00
40,3.0,2020-01-02 16:00:00,2020-01-02,16:00:00
41,3.0,2020-01-02 17:00:00,2020-01-02,17:00:00
42,0.0,2020-01-02 18:00:00,2020-01-02,18:00:00
43,1.0,2020-01-02 19:00:00,2020-01-02,19:00:00
44,4.0,2020-01-02 20:00:00,2020-01-02,20:00:00
45,4.0,2020-01-02 21:00:00,2020-01-02,21:00:00
46,4.0,2020-01-02 22:00:00,2020-01-02,22:00:00
