receipe,ingredients
Harissa tomato tarts,Ingredients
Harissa tomato tarts,"180g 0% fat natural Greek yogurt, plus 4tbsp to serve"
Harissa tomato tarts,"180g self-raising flour, plus 2tsp for dusting"
Harissa tomato tarts,"1/2 small red onion, thinly sliced"
Harissa tomato tarts,"4 tomatoes, thickly sliced"
Harissa tomato tarts,4tsp harissa paste
Harissa tomato tarts,2tsp red wine vinegar
Harissa tomato tarts,1tsp olive oil
Harissa tomato tarts,1tbsp chopped fresh flat-leaf parsley
Harissa tomato tarts,"Rocket, to serve"
Harissa tomato tarts,Ingredients
Harissa tomato tarts,"6 medium-sized potatoes, scrubbed"
Harissa tomato tarts,2 eggs
Harissa tomato tarts,½ tsp salt
Harissa tomato tarts,"your choice of herbs and spices, to taste (we used 1 tbsp freshly chopped parsley plus a good pinch black pepper)"
Harissa tomato tarts,2 tsp oil
Harissa tomato tarts,"2 large onions, chopped"
Harissa tomato tarts,"2 cloves garlic, crushed"
Harissa tomato tarts,"250g mushrooms, sliced (any type)"
Harissa tomato tarts,Ingredients
Harissa tomato tarts,For the lentils:
Harissa tomato tarts,250g puy lentils
Harissa tomato tarts,"2 cloves garlic, crushed"
Harissa tomato tarts,600ml vegetable stock
Harissa tomato tarts,"4 tomatoes, roughly chopped"
Harissa tomato tarts,"1 bunch spring onions, chopped"
Harissa tomato tarts,4 x 125g pieces swordfish
Harissa tomato tarts,1 tbsp oil
Harissa tomato tarts,"black pepper, to season"
Harissa tomato tarts,For the salsa:
Harissa tomato tarts,"6 tbsp mixed fresh herbs (e.g. parsley, coriander, mint)"
Harissa tomato tarts,"2 tbsp capers, drained"
Harissa tomato tarts,4 anchovy fillets
Harissa tomato tarts,grated rind and juice 1 lemon
Harissa tomato tarts,2 tbsp olive oil
Harissa tomato tarts,Ingredients
Harissa tomato tarts,1 tsp rapeseed oil
Harissa tomato tarts,"1 red onion, chopped"
Harissa tomato tarts,"100g mushrooms, cut into wedges"
Harissa tomato tarts,1 heaped tsp plain flour
Harissa tomato tarts,"1 low-salt fish stock cube, dissolved in 300ml water"
Harissa tomato tarts,"1 400g can lentils, drained"
Harissa tomato tarts,1 tbsp 0% fat Greek yogurt
Harissa tomato tarts,2 cod steaks (approx. 150g each)
Harissa tomato tarts,1 tsp chopped parsley
Harissa tomato tarts,good grind black pepper
Harissa tomato tarts,Ingredients
Harissa tomato tarts,2 tsp rapeseed oil
Harissa tomato tarts,4 pork escalopes (400g)
Harissa tomato tarts,"2–3 leeks, chopped (400g)"
Harissa tomato tarts,3 heaped tsp Dijon mustard
Harissa tomato tarts,2 heaped tsp plain flour
Harissa tomato tarts,500ml skimmed milk
Harissa tomato tarts,pinch pepper
Potato pancakes with mushroom sauce,Ingredients
Potato pancakes with mushroom sauce,"180g 0% fat natural Greek yogurt, plus 4tbsp to serve"
Potato pancakes with mushroom sauce,"180g self-raising flour, plus 2tsp for dusting"
Potato pancakes with mushroom sauce,"1/2 small red onion, thinly sliced"
Potato pancakes with mushroom sauce,"4 tomatoes, thickly sliced"
Potato pancakes with mushroom sauce,4tsp harissa paste
Potato pancakes with mushroom sauce,2tsp red wine vinegar
Potato pancakes with mushroom sauce,1tsp olive oil
Potato pancakes with mushroom sauce,1tbsp chopped fresh flat-leaf parsley
Potato pancakes with mushroom sauce,"Rocket, to serve"
Potato pancakes with mushroom sauce,Ingredients
Potato pancakes with mushroom sauce,"6 medium-sized potatoes, scrubbed"
Potato pancakes with mushroom sauce,2 eggs
Potato pancakes with mushroom sauce,½ tsp salt
Potato pancakes with mushroom sauce,"your choice of herbs and spices, to taste (we used 1 tbsp freshly chopped parsley plus a good pinch black pepper)"
Potato pancakes with mushroom sauce,2 tsp oil
Potato pancakes with mushroom sauce,"2 large onions, chopped"
Potato pancakes with mushroom sauce,"2 cloves garlic, crushed"
Potato pancakes with mushroom sauce,"250g mushrooms, sliced (any type)"
Potato pancakes with mushroom sauce,Ingredients
Potato pancakes with mushroom sauce,For the lentils:
Potato pancakes with mushroom sauce,250g puy lentils
Potato pancakes with mushroom sauce,"2 cloves garlic, crushed"
Potato pancakes with mushroom sauce,600ml vegetable stock
Potato pancakes with mushroom sauce,"4 tomatoes, roughly chopped"
Potato pancakes with mushroom sauce,"1 bunch spring onions, chopped"
Potato pancakes with mushroom sauce,4 x 125g pieces swordfish
Potato pancakes with mushroom sauce,1 tbsp oil
Potato pancakes with mushroom sauce,"black pepper, to season"
Potato pancakes with mushroom sauce,For the salsa:
Potato pancakes with mushroom sauce,"6 tbsp mixed fresh herbs (e.g. parsley, coriander, mint)"
Potato pancakes with mushroom sauce,"2 tbsp capers, drained"
Potato pancakes with mushroom sauce,4 anchovy fillets
Potato pancakes with mushroom sauce,grated rind and juice 1 lemon
Potato pancakes with mushroom sauce,2 tbsp olive oil
Potato pancakes with mushroom sauce,Ingredients
Potato pancakes with mushroom sauce,1 tsp rapeseed oil
Potato pancakes with mushroom sauce,"1 red onion, chopped"
Potato pancakes with mushroom sauce,"100g mushrooms, cut into wedges"
Potato pancakes with mushroom sauce,1 heaped tsp plain flour
Potato pancakes with mushroom sauce,"1 low-salt fish stock cube, dissolved in 300ml water"
Potato pancakes with mushroom sauce,"1 400g can lentils, drained"
Potato pancakes with mushroom sauce,1 tbsp 0% fat Greek yogurt
Potato pancakes with mushroom sauce,2 cod steaks (approx. 150g each)
Potato pancakes with mushroom sauce,1 tsp chopped parsley
Potato pancakes with mushroom sauce,good grind black pepper
Potato pancakes with mushroom sauce,Ingredients
Potato pancakes with mushroom sauce,2 tsp rapeseed oil
Potato pancakes with mushroom sauce,4 pork escalopes (400g)
Potato pancakes with mushroom sauce,"2–3 leeks, chopped (400g)"
Potato pancakes with mushroom sauce,3 heaped tsp Dijon mustard
Potato pancakes with mushroom sauce,2 heaped tsp plain flour
Potato pancakes with mushroom sauce,500ml skimmed milk
Potato pancakes with mushroom sauce,pinch pepper
Roasted swordfish with salsa on puy lentils,Ingredients
Roasted swordfish with salsa on puy lentils,"180g 0% fat natural Greek yogurt, plus 4tbsp to serve"
Roasted swordfish with salsa on puy lentils,"180g self-raising flour, plus 2tsp for dusting"
Roasted swordfish with salsa on puy lentils,"1/2 small red onion, thinly sliced"
Roasted swordfish with salsa on puy lentils,"4 tomatoes, thickly sliced"
Roasted swordfish with salsa on puy lentils,4tsp harissa paste
Roasted swordfish with salsa on puy lentils,2tsp red wine vinegar
Roasted swordfish with salsa on puy lentils,1tsp olive oil
Roasted swordfish with salsa on puy lentils,1tbsp chopped fresh flat-leaf parsley
