,receipe,nutricional,ingredients
0,Galician stew with roasted butternut squash,"Each 581g serving contains (excludes serving suggestion)
KCal
285
Carbs
41.1g
Fibre
16.1g
Protein
11.9g
Fat
4.6g
Saturates
0.7g
Sugars
22.3g
Salt
0.56g
Fruit/Veg Portion
6
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 medium butternut squash (approx 900g)
1 tbsp olive oil
1 green pepper, deseeded and sliced into strips
1 yellow pepper, deseeded and sliced into strips
1 red pepper, deseeded and sliced into strips
1 large onion, halved, then thinly sliced
2 heaped tsp mild ('dulce') smoked paprika
2–3 cloves garlic, sliced
1 rounded tsp dried thyme
1 aubergine, cut into large cubes
1 x 400g tin tomatoes, plus 1 tin water
400g tin puy lentils
2 tbsp freshly chopped parsley"
1,Full of fruit sundaes,"Each 205g serving contains (excludes serving suggestion)
KCal
137
Carbs
25.1g
Fibre
3.4g
Protein
6.7g
Fat
0.3g
Saturates
0.1g
Sugars
24.3g
Salt
0.1g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 meringue nests, roughly crushed, total weight 25g
1 banana, sliced
1 kiwi fruit, peeled and chopped
1 paw paw, peeled, deseeded and chopped
flesh of 2 passion fruits
200g tub virtually fat-free fromage frais"
2,Gado gado,"Each 380g serving contains (excludes serving suggestion)
KCal
370
Carbs
24.4g
Fibre
8.4g
Protein
23.8g
Fat
17.8g
Saturates
0.7g
Sugars
15.5g
Salt
0.3g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1-2 sweet potatoes, peeled and cubed
1-2 tsp rapeseed oil
300g pack tofu, cubed
300g beansprouts
1 large carrot, cut into ribbons with peeler
1 red pepper, sliced
6 spring onions, chopped
10cm cucumber, chopped
160g cabbage, shredded
160g fine green beans, blanched
For the dressing:
1 tbsp unsalted crunchy peanut butter
2 tsp reduced-salt soy sauce
2 tsp runny honey
1 tsp granulated sweetener
1 small red chilli, finely chopped
juice 1 lime
1 tbsp water"
3,Fufu with chicken pepper soup,"Each 435g serving contains (excludes serving suggestion)
KCal
366
Carbs
52.3g
Fibre
7.4g
Protein
25.8g
Fat
4.3g
Saturates
0.6g
Sugars
11.6g
Salt
0.32g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
1 large onion, chopped
2 boneless, skinless chicken breasts (approx. 300g), cut into small chunks
2 medium carrots, cut into small chunks
1 courgette, cut into chunks
2 tsp curry powder
good pinch nutmeg
1 level tsp paprika
1 tbsp tomato puree
2 red chillies, sliced into rings
1 x 400g tin chopped tomatoes
1 reduced-salt chicken stock cube, dissolved in 500ml water
400ml water
200g plantain fufu flour"
4,Fruity mince,"Each 414g serving contains (excludes serving suggestion)
KCal
289
Carbs
31.8g
Fibre
7.7g
Protein
18.8g
Fat
7.8g
Saturates
2.8g
Sugars
26.7g
Salt
0.17g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g butternut squash, cut into small chunks
25g green beans, halved
1 small onion, finely chopped
75g pork mince
200g can chopped tomatoes
1 tbsp tomato puree
1 tbsp sultanas
1 tsp mixed herbs
few drops Tabasco (optional)
2 tbsp gluten-free stock
freshly ground black pepper"
5,Fruity coronation chicken pitta,"Each 367g serving contains (excludes serving suggestion)
KCal
393
Carbs
47.6g
Fibre
10.5g
Protein
35.8g
Fat
4.3g
Saturates
1.2g
Sugars
17.6g
Salt
1.11g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp half-fat crème fraiche
4 tsp low-fat natural yogurt
1 tsp medium curry powder
1 tbsp fresh coriander
1 large (200g), boneless, skinless chicken breast, cooked and sliced
3 fresh apricots, sliced
1 mango, peeled and sliced (150g)
3 spring onions, chopped
60g rocket salad leaves
2 wholemeal pittas (70g each)"
6,Fruity French toast,"Each 237g serving contains (excludes serving suggestion)
KCal
245
Carbs
26.9g
Fibre
4.9g
Protein
13.0g
Fat
8.4g
Saturates
2.0g
Sugars
12.0g
Salt
0.64g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
1 tbsp water
100g frozen mixed berries
1 apple, peeled and grated
2 free-range eggs
1 tbsp skimmed milk
2 thick slices wholemeal bread (40g each), cut in half diagonally
1 tsp sunflower oil"
7,Peach and raspberry smoothie,"Each 288g serving contains (excludes serving suggestion)
KCal
133
Carbs
19.7g
Fibre
3.0g
Protein
7.4g
Fat
2.2g
Saturates
1.4g
Sugars
19.5g
Salt
0.21g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
213g can peaches in juice, drained
150g fresh or frozen raspberries
150g carton plain yogurt
150ml semi-skimmed milk"
8,Fruity chocolate tray bake,"Each 40g serving contains (excludes serving suggestion)
KCal
93
Carbs
10.5g
Fibre
0.9g
Protein
1.1g
Fat
5.0g
Saturates
0.5g
Sugars
7.3g
Salt
0.1g
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp rapeseed oil
1 large banana, split and cut into chunks (150g)
100g blueberries
50g sugar
50g wholemeal flour
2 heaped tsp cocoa powder
1 tsp baking powder
1 tsp vanilla extract
50ml rapeseed oil
50ml semi-skimmed milk"
9,Fruit and nut bars,"Each 58g serving contains (excludes serving suggestion)
KCal
124
Carbs
16.3g
Fibre
1.0g
Protein
2.9g
Fat
5.0g
Saturates
1.4g
Sugars
12.9g
Salt
0.01g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
450g eating apples, peeled, cored and stewed (425g)
5 tbsp orange juice
225g mixed dried fruit (e.g. apricots, dates, cranberries), roughly chopped
100g mixed nuts (e.g. almonds, hazelnuts), chopped
75g wholemeal self-raising flour
25g desiccated coconut
1 tbsp rapeseed oil"
