,receipe,nutricional,ingredients
0,Roasted swordfish with salsa on puy lentils,"Each 338g serving contains (excludes serving suggestion)
KCal
463
Carbs
35.7g
Fibre
9.8g
Protein
39.9g
Fat
15.6g
Saturates
2.5g
Sugars
5.8g
Salt
1.35g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
For the lentils:
250g puy lentils
2 cloves garlic, crushed
600ml vegetable stock
4 tomatoes, roughly chopped
1 bunch spring onions, chopped
4 x 125g pieces swordfish
1 tbsp oil
black pepper, to season
For the salsa:
6 tbsp mixed fresh herbs (e.g. parsley, coriander, mint)
2 tbsp capers, drained
4 anchovy fillets
grated rind and juice 1 lemon
2 tbsp olive oil"
1,Roasted red vegetables with ginger and garlic,"Each 324g serving contains (excludes serving suggestion)
KCal
102
Carbs
13.4g
Fibre
5.0g
Protein
2.5g
Fat
3.2g
Saturates
0.5g
Sugars
11.6g
Salt
0.02g
Fruit/Veg Portion
3
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tbsp extra-virgin olive oil
12 plum tomatoes, cut in half (stem to tip)
4 red peppers, deseeded, cut into eighths
3 red onions, quartered
5cm piece root ginger, peeled and chopped
12 cloves garlic (unpeeled)
4 big sprigs thyme
freshly ground black pepper"
2,Chargrilled red pepper and tomato salsa,"Each 218g serving contains (excludes serving suggestion)
KCal
65
Carbs
10.6g
Fibre
4.6g
Protein
2.1g
Fat
0.6g
Saturates
0.1g
Sugars
9.6g
Salt
0.04g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
3 red peppers, deseeded and quartered
2 red onions, cut into wedges
200g ripe tomatoes, chopped
1 heaped tbsp tomato puree
1 tsp ground cumin
1 tsp oregano
pinch chilli flakes (or 1 small fresh chilli, finely chopped)
25g coriander, finely chopped
1 carrot, cut into batons
6cm cucumber, cut into batons
1 yellow pepper, cut into batons"
3,Roasted peppers with feta cheese,"Each 255g serving contains (excludes serving suggestion)
KCal
53
Carbs
9.3g
Fibre
42.0g
Protein
5.9g
Fat
9.3g
Saturates
4.1g
Sugars
8.6g
Salt
0.91g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 peppers, halved and deseeded (1 red and 1 yellow or orange)
12 cherry tomatoes
8 pitted black olives
50g feta cheese, crumbled
1 tsp olive oil
1 tsp fresh oregano"
4,Roasted garlic and mushroom soup,"Each 423g serving contains (excludes serving suggestion)
KCal
172
Carbs
21.1g
Fibre
7.6g
Protein
11.6g
Fat
2.9g
Saturates
0.2g
Sugars
6.1g
Salt
0.22g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 whole bulbs garlic, unpeeled with tops removed
2 tsp rapeseed oil
1 large onion, chopped
2 large Portobello mushrooms, sliced (150g)
200g closed cup mushrooms, sliced
1 reduced-salt vegetable stock cube in 500ml water
good pinch white pepper
half tsp dried thyme
1 400g can cannellini beans, drained
100ml skimmed milk
150g mixed exotic or wild mushrooms
3 tbsp 0% fat Greek-style yogurt
black pepper to taste
fresh thyme leaves, to serve (optional)"
5,Roasted chicory,"Each 246g serving contains (excludes serving suggestion)
KCal
184
Carbs
6.7g
Fibre
2.9g
Protein
3.5g
Fat
15.3g
Saturates
1.8g
Sugars
2.2g
Salt
0.01g
Fruit/Veg Portion
1
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
6 heads chicory
2 chopped garlic cloves
1 tbsp olive oil
zest and juice one lemon
25g toasted pine nuts and chopped parsley, to serve"
6,"Roasted cauliflower, paneer and chickpea curry","Each 504g serving contains (excludes serving suggestion)
KCal
352
Carbs
38.9g
Fibre
12.5g
Protein
17.3g
Fat
11.3g
Saturates
4.4g
Sugars
14.8g
Salt
0.3g
Fruit/Veg Portion
4
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
2 tsp oil
500g cauliflower, in small florets
2 tsp turmeric
2 onions, chopped
1 large sweet potato, cubed (300g)
1 red pepper, chopped
3 cloves garlic, crushed
1 tsp ground cumin
1 tbsp medium curry powder paste
1 low-salt vegetable stock cube, dissolved in 400ml water
100g paneer
240g chickpeas, drained
80g frozen peas, defrosted
2 tbsp 0% fat yogurt"
7,Roasted tomato and pepper bulgar wheat salad,"Each 300g serving contains (excludes serving suggestion)
KCal
252
Carbs
34.3g
Fibre
5.2g
Protein
6.0g
Fat
8.9g
Saturates
1.3g
Sugars
9.7g
Salt
0.02g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
100g bulgar wheat
450g cherry tomatoes
1 red pepper, cut into chunks
2 tbsp olive oil
2 tbsp balsamic vinegar
handful fresh herbs (e.g. parsley, basil)
freshly ground black pepper"
8,Roast turkey,"Each 150g serving contains (excludes serving suggestion)
KCal
322
Carbs
0.0g
Fibre
0.0g
Protein
51.5g
Fat
14.0g
Saturates
4.6g
Sugars
0.0g
Salt
1.28g
Fruit/Veg Portion
0
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
5kg turkey, fresh or thoroughly defrosted
1 lemon, quartered
1 onion, unpeeled and quartered
2-3 whole garlic cloves, unpeeled and crushed lightly
2 bay leaves
Good sprig of fresh thyme
12 thin rashers of streaky bacon"
9,Roasted chicory and orange salad,"Each 157g serving contains (excludes serving suggestion)
KCal
60
Carbs
9.7g
Fibre
1.9g
Protein
1.2g
Fat
1.4g
Saturates
0.3g
Sugars
8.2g
Salt
0.0g
Fruit/Veg Portion
2
Nutritional information explained
What makes a healthy, balanced diet?","Ingredients
4 heads chicory, halved lengthways
grated rind and juice 1 orange
1 tsp olive oil
1 tsp fresh thyme or pinch dried
freshly ground black pepper
2 oranges, segmented
2 tsp orange zest, to garnish"
